Period;Event_Title;Type;Organization;Location;Country;Approx_Date;Start_Date;End_Date;Organizers_Speakers;Url
Post-Grad;Introduction to Scientific Programming using GPGPU and CUDA;Training Course;CINECA-SCAI;Milan;Italy;March 2014;;;;https://web.archive.org/web/20170623171128/http://www.hpc.cineca.it/content/introduction-to-gpu
Post-Grad;Introduction to Scientific and Technical Computing in C++;Training Course;CINECA-SCAI;Milan;Italy;March 2016;;;;https://web.archive.org/save/http://www.hpc.cineca.it/content/introduction-object-oriented
Post-Grad;Causal Fermion Systems;School;University of Regensburg;Regensburg;Germany;March 2016;;;Felix Finster, Johannes Kleiner, Jan-Hendrik Treude;https://web.archive.org/web/20170623170718/http://www.uni-regensburg.de/mathematics/causal-fermion-systems/
Post-Grad;Runde Summer 2016: Demystifying the Peierls' Brackets Construction;Invited Talk;IMPRS, Mathematics in the Sciences;Leipzig;Germany;July 2016;;;;
Post-Grad;XIX Summer Diffiety School;School;Diffiety Institute association and Levi-Civita association;Lizzano in Belvedere;Italy;July 2016;;;A. M. Vinogradov, L. Vitagliano;https://web.archive.org/web/20170623170547/https://sites.google.com/site/levicivitainstitute//Activities/DiffietySchools/xix-summer-diffiety-school
Post-Grad;Geometric Cauchy problems on Lorentzian manifolds;School;University of Regensburg;Regensburg;Germany;July 2016;;;Bernd Ammann, Alexander Engel;https://web.archive.org/web/20170623170457/http://www-app.uni-regensburg.de/Fakultaeten/MAT/GK/index.php/Summer_School_2016
I Year;Topics in Symplectic and Multi-symplectic Geometry;Ph.D. Course;Universita’ Cattolica del Sacro Cuore;Brescia;Italy;January 2017;6-Jan-17;15-apr-17;Mauro Spera;https://web.archive.org/save/http://scuoledidottorato.unicatt.it/phdschools/science-10545.html
I Year;Covariant Phase Space Via Multysimplectic Geometry;Talk;Universita’ Cattolica del Sacro Cuore;Brescia;Italy;May 2017;15-may-17;15-may-17;Mauro Spera;https://www.researchgate.net/publication/319301194_Notes_on_Covariant_Phase_Space_via_MultiSymplectic_Geometry
I Year;Python for computational science;Training Course;CINECA-SCAI;Milan;Italy;February 2017;;;;https://web.archive.org/web/20170623170252/https://eventi.cineca.it/en/hpc/python-computational-science
I Year;Adesione Indam - GNSAGA - Differential Geometry ;Altro;;;;January 2017;;;;https://web.archive.org/web/20170924125645/http://www.altamatematica.it/gnsaga/node/23
I Year;Arici;Seminar;Universita’ Cattolica del Sacro Cuore;Brescia;Italy;February 2017;01-feb-17;;;
I Year;Differential Topology and Geometry;Master Course;Universita’ Cattolica del Sacro Cuore;Brescia;Italy;March 2017;01-mar-17;1-Jun-17;Mauro Spera;http://docenti.unicatt.it/web/html/index.html#/programmi/BS/2D8B/75017/2017/21065/MGH344/ita
